sample.id,year,latitude,longitude,n.obs,ndvi.gs.avg,ndvi.gs.med,ndvi.gs.q90,ndvi.max,ndvi.max.lwr,ndvi.max.upr,ndvi.max.doy,site
pixel_20 _DY_5,2011,78.1743681,15.9616852,65,0.479757006360924,0.489453284160599,0.518110331235042,0.518110331235042,0.432103914709204,0.534927051225503,221,DY_5
pixel_20 _DY_5,2012,78.1743681,15.9616852,13,0.401961841112428,0.401961841112428,0.401961841112428,0.431519905397537,0.417800982030497,0.47471150105474,221,DY_5
pixel_20 _DY_5,2013,78.1743681,15.9616852,26,0.494675650491509,0.494675650491509,0.508703194701704,0.508703194701704,0.487240175587403,0.555671905981653,221,DY_5
pixel_20 _DY_5,2014,78.1743681,15.9616852,167,0.497346384094225,0.48790920946543,0.539574596085459,0.539574596085459,0.476069041062529,0.574585729196369,221,DY_5
pixel_20 _DY_5,2015,78.1743681,15.9616852,71,0.470662215732432,0.486987194955202,0.497996522161402,0.503904744138217,0.467089323930241,0.548018602964081,221,DY_5
pixel_20 _DY_5,2016,78.1743681,15.9616852,121,0.495547138635904,0.490095200619218,0.512551060889916,0.512551060889916,0.488733964268894,0.553962682975329,222,DY_5
pixel_20 _DY_5,2017,78.1743681,15.9616852,70,0.460837494178683,0.471277699476039,0.479620613779701,0.486485606031154,0.459087549977567,0.54586481949173,224,DY_5
pixel_20 _DY_5,2018,78.1743681,15.9616852,108,0.463905789003612,0.467216163754856,0.510979877922819,0.510979877922819,0.37673179665298,0.542718380441988,226,DY_5
pixel_20 _DY_5,2019,78.1743681,15.9616852,112,0.429428288448048,0.433174500736831,0.487212955393031,0.487212955393031,0.38209294230293,0.510309034035875,229,DY_5
pixel_20 _DY_5,2020,78.1743681,15.9616852,91,0.440626041112247,0.429826570738746,0.5150073299521,0.5150073299521,0.393786242672328,0.538214297191999,233,DY_5
pixel_20 _DY_5,2021,78.1743681,15.9616852,59,0.435133725322955,0.423685493995151,0.513700911085312,0.513700911085312,0.364240698925587,0.541400142931477,240,DY_5
pixel_20 _DY_8,2005,78.1676576,15.9585261,2,0.508845886494608,0.508845886494608,0.508845886494608,0.517612514673414,0.51581770213062,0.519407327216208,210,DY_8
pixel_20 _DY_8,2006,78.1676576,15.9585261,9,0.41453047669659,0.42729257865872,0.431916296290205,0.434464127185887,0.398887741008353,0.456452262113424,209,DY_8
pixel_20 _DY_8,2010,78.1676576,15.9585261,13,0.443045306529622,0.515705527588098,0.515705527588098,0.515868165217043,0.406761927751177,0.559255964497014,201,DY_8
pixel_20 _DY_8,2011,78.1676576,15.9585261,10,0.410787366548043,0.410787366548043,0.410787366548043,0.454221089263781,0.443532995544852,0.511011833168027,205,DY_8
pixel_20 _DY_8,2013,78.1676576,15.9585261,52,0.463569593823793,0.476605818080197,0.490067963185853,0.511510565075917,0.458955145628408,0.566354946407796,207,DY_8
pixel_20 _DY_8,2014,78.1676576,15.9585261,195,0.480888037286759,0.482010841092754,0.508959288492548,0.516172025848297,0.456841043623104,0.58825800969603,207,DY_8
pixel_20 _DY_8,2015,78.1676576,15.9585261,81,0.502520322671409,0.489814458077066,0.551648651032661,0.551648651032661,0.481982862897511,0.638210533836747,207,DY_8
pixel_20 _DY_8,2016,78.1676576,15.9585261,121,0.533507706853559,0.533014007539396,0.571955530449537,0.585088419601002,0.518176837809232,0.638839723057843,207,DY_8
pixel_20 _DY_8,2017,78.1676576,15.9585261,45,0.553069602617657,0.549066590198547,0.635770350624416,0.635770350624416,0.513759437522787,0.710604149067767,206,DY_8
pixel_20 _DY_8,2018,78.1676576,15.9585261,116,0.567034479155429,0.550546909507892,0.672660732797473,0.672660732797473,0.486706640061767,0.730825429325412,207,DY_8
pixel_20 _DY_8,2019,78.1676576,15.9585261,96,0.553822346419568,0.566989791129934,0.645867154899596,0.645867154899596,0.4770657294794,0.736657390511962,207,DY_8
pixel_20 _DY_8,2020,78.1676576,15.9585261,82,0.570237278110992,0.569345239741208,0.686639308388388,0.686639308388388,0.446136277973148,0.706851617563436,214,DY_8
pixel_20 _DY_8,2021,78.1676576,15.9585261,66,0.54593053052311,0.509236045065451,0.684450706559275,0.684450706559275,0.445274093542698,0.73117191075666,214,DY_8
pixel_21 _DY_12,2004,78.1597193,15.9998098,2,0.344882822099777,0.344882822099777,0.390698925523981,0.421794545589177,0.377672679310586,0.465916411867768,260,DY_12
pixel_21 _DY_12,2005,78.1597193,15.9998098,2,0.429062958347578,0.429062958347578,0.429062958347578,0.46041967066733,0.459036017254415,0.461803324080245,260,DY_12
pixel_21 _DY_12,2006,78.1597193,15.9998098,6,0.364906530274307,0.364906530274307,0.368755510556515,0.396720586797629,0.376416526819363,0.429605788772985,260,DY_12
pixel_21 _DY_12,2010,78.1597193,15.9998098,7,0.405162629623522,0.405162629623522,0.405162629623522,0.417377844704564,0.414501569056748,0.43520309198812,226,DY_12
pixel_21 _DY_12,2011,78.1597193,15.9998098,13,0.316352246917165,0.316352246917165,0.316352246917165,0.354084408466253,0.326417035273468,0.36506425544538,216,DY_12
pixel_21 _DY_12,2013,78.1597193,15.9998098,52,0.410639072589055,0.419368721690067,0.454318964374536,0.454318964374536,0.353210951939154,0.500098953003284,216,DY_12
pixel_21 _DY_12,2014,78.1597193,15.9998098,165,0.397660656703473,0.374106161177889,0.486162711119336,0.486162711119336,0.371356572477956,0.498738130358425,215,DY_12
pixel_21 _DY_12,2015,78.1597193,15.9998098,58,0.400852555763378,0.424000810635495,0.445212199527246,0.445212199527246,0.377352624657445,0.498411293107623,211,DY_12
pixel_21 _DY_12,2016,78.1597193,15.9998098,110,0.395107690488326,0.38823173042582,0.43520617868119,0.43520617868119,0.363230248002432,0.498650072733644,208,DY_12
pixel_21 _DY_12,2017,78.1597193,15.9998098,62,0.362610188028273,0.359956905632065,0.397672360819719,0.397672360819719,0.349284970308438,0.430521288457953,203,DY_12
pixel_21 _DY_12,2018,78.1597193,15.9998098,99,0.406462583144284,0.399603253237795,0.484644549684195,0.484644549684195,0.365087087401944,0.493113269352869,203,DY_12
pixel_21 _DY_12,2019,78.1597193,15.9998098,104,0.390280347249624,0.399353000434159,0.430194902847911,0.430194902847911,0.333495986825473,0.523094829890065,203,DY_12
pixel_21 _DY_12,2020,78.1597193,15.9998098,95,0.39183354542198,0.404387526686034,0.45739698721678,0.45739698721678,0.335631028801071,0.493022323998638,204,DY_12
pixel_21 _DY_12,2021,78.1597193,15.9998098,84,0.386256156509381,0.366610653746366,0.447239693967275,0.447239693967275,0.348304138349663,0.499650310303361,204,DY_12
pixel_21 _DY_3,2004,78.1780341,15.9095033,2,0.452844756048569,0.452844756048569,0.478106648100443,0.513780977126449,0.496017337088658,0.531544617164239,211,DY_3
pixel_21 _DY_3,2005,78.1780341,15.9095033,2,0.527309417040359,0.527309417040359,0.527309417040359,0.532402534443211,0.529801368612937,0.535003700273485,209,DY_3
pixel_21 _DY_3,2006,78.1780341,15.9095033,12,0.483257114475618,0.483407383190059,0.511319081093342,0.511319081093342,0.479978233434272,0.519013364326468,206,DY_3
pixel_21 _DY_3,2010,78.1780341,15.9095033,3,0.321572739940527,0.321572739940527,0.321572739940527,0.436754137493728,0.432610265169462,0.440028737411671,206,DY_3
pixel_21 _DY_3,2011,78.1780341,15.9095033,26,0.49108613602852,0.49108613602852,0.52095317646688,0.537876224997415,0.48251104113494,0.556310684673914,204,DY_3
pixel_21 _DY_3,2013,78.1780341,15.9095033,35,0.501333094044332,0.484151783841857,0.554456831825262,0.575462849121054,0.527722300088308,0.597723655012915,204,DY_3
pixel_21 _DY_3,2014,78.1780341,15.9095033,155,0.518661419316738,0.528071661269081,0.616589475218686,0.616589475218686,0.460147760106083,0.689259613295743,204,DY_3
pixel_21 _DY_3,2015,78.1780341,15.9095033,63,0.482401294673257,0.487490765043694,0.537312030728007,0.542013354866464,0.433188160300572,0.586498611213568,203,DY_3
pixel_21 _DY_3,2016,78.1780341,15.9095033,63,0.51267436764315,0.530628170943899,0.54777986211544,0.554063236370073,0.528141469661898,0.621682647637538,203,DY_3
pixel_21 _DY_3,2017,78.1780341,15.9095033,41,0.477163140569115,0.455261717193412,0.535121022480445,0.550429034859718,0.456993970796201,0.617492094172983,203,DY_3
pixel_21 _DY_3,2018,78.1780341,15.9095033,107,0.532224868294481,0.497122578652826,0.651292277435951,0.651292277435951,0.449587653373516,0.681565386975692,204,DY_3
pixel_21 _DY_3,2019,78.1780341,15.9095033,87,0.505816283881959,0.495522346632746,0.632012564600684,0.632012564600684,0.427164112718671,0.666636883245914,204,DY_3
pixel_21 _DY_3,2020,78.1780341,15.9095033,42,0.557438046137067,0.518303359174961,0.685356564957298,0.685356564957298,0.550911513429987,0.700343919411264,205,DY_3
pixel_21 _DY_3,2021,78.1780341,15.9095033,62,0.464642837897195,0.457735016639212,0.567402606771195,0.567402606771195,0.441602893019221,0.616589187256756,206,DY_3
pixel_21 _DY_8,2006,78.167402,15.9545735,12,0.467783999339479,0.472679051205673,0.522290003385284,0.522290003385284,0.420723424981803,0.557902526899507,260,DY_8
pixel_21 _DY_8,2010,78.167402,15.9545735,14,0.465917020567635,0.465917020567635,0.496114235689568,0.496114235689568,0.452527496485092,0.523967852698349,252,DY_8
pixel_21 _DY_8,2011,78.167402,15.9545735,39,0.4988396862166,0.508435924058143,0.520208155634246,0.521943381035116,0.480329202948087,0.549129860265554,229,DY_8
pixel_21 _DY_8,2013,78.167402,15.9545735,52,0.547498106051237,0.541316743700012,0.577271718382386,0.577271718382386,0.540904969517718,0.612884241896608,229,DY_8
pixel_21 _DY_8,2014,78.167402,15.9545735,195,0.519799310999138,0.53556474787215,0.565873952095581,0.565873952095581,0.437283682207101,0.635278895898099,229,DY_8
pixel_21 _DY_8,2015,78.167402,15.9545735,81,0.490378854168203,0.498400681058736,0.556226496021504,0.556226496021504,0.439151794592533,0.603398360470128,226,DY_8
pixel_21 _DY_8,2016,78.167402,15.9545735,121,0.51805816011979,0.531787173375087,0.546356381335077,0.546356381335077,0.448582401364979,0.617850446566353,224,DY_8
pixel_21 _DY_8,2017,78.167402,15.9545735,40,0.541866601312993,0.543175984708424,0.581408898070129,0.581408898070129,0.504459294249315,0.60580118200871,220,DY_8
pixel_21 _DY_8,2018,78.167402,15.9545735,108,0.541801179416711,0.52910276798054,0.609212461314247,0.609212461314247,0.487061987038632,0.639327663364983,216,DY_8
pixel_21 _DY_8,2019,78.167402,15.9545735,111,0.507939394938436,0.515380673808609,0.585710543628577,0.585710543628577,0.438564556507838,0.680562956717374,210,DY_8
pixel_21 _DY_8,2020,78.167402,15.9545735,96,0.486937151772119,0.480175805953708,0.562425988754467,0.562425988754467,0.424472221937465,0.619530246717811,203,DY_8
pixel_21 _DY_8,2021,78.167402,15.9545735,55,0.496709788995302,0.504615561458167,0.581358832961076,0.581358832961076,0.44291878404299,0.639232954744518,203,DY_8
pixel_22 _DY_3,2005,78.1777778,15.9055483,2,0.278223318938927,0.278223318938927,0.278223318938927,0.321948605404814,0.306438796087718,0.33745841472191,257,DY_3
pixel_22 _DY_3,2006,78.1777778,15.9055483,3,0.258227510473826,0.258227510473826,0.258227510473826,0.303852821744404,0.279483415942494,0.311457930819415,257,DY_3
pixel_22 _DY_3,2010,78.1777778,15.9055483,7,0.260682756537209,0.260682756537209,0.260682756537209,0.310096679193673,0.294745526673259,0.330668535981872,257,DY_3
pixel_22 _DY_3,2011,78.1777778,15.9055483,10,0.201621507556192,0.203458379019646,0.203458379019646,0.269948027783383,0.240457832859603,0.274932720092805,257,DY_3
